Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Terminator: Resistance,0.0,27.0,5.0,3.1,13.0,2048.0,1751.0,12.05,33.5,70.0,112.05,764,1064,32.0,32.0,11
Alder's Blood,30.5,155.0,1.0,2.8,55.0,640.0,946.5,10.05,12.0,21.5,75.0,732,1064,2.0,2.0,9
Teslagrad,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Survivor Squad,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Total War: Warhammer 2 - Tretch Craventail,36.5,65.0,2.5,3.6,27.0,1024.0,1050.0,11.5,18.0,36.0,96.0,764,764,60.0,60.0,11
Football Manager 2020,72.0,130.0,1.0,2.615,45.0,512.0,650.0,10.05,4.5,9.0,24.8,232,764,7.0,7.0,9
Walker,36.0,180.0,1.0,1.85,65.0,320.0,550.0,9.5,1.0,2.5,6.8,132,132,1.0,1.0,9
Jupiter Hell,71.0,55.0,2.0,2.5,55.0,1280.0,850.0,11.0,3.0,4.0,20.8,764,1064,2.0,2.0,11
Chompy Chomp Chomp,66.5,180.0,1.0,2.1,77.5,320.0,550.0,9.5,1.0,2.5,6.8,132,132,0.0,0.0,9
MotoGP 17,36.5,38.5,4.0,4.05,11.0,2048.0,845.5,11.0,10.0,24.0,27.05,764,1064,33.0,33.0,10
Wasteland 3,36.5,32.0,6.0,3.4,18.0,2560.0,1438.5,11.1,31.5,108.5,228.15,764,1064,55.0,55.0,11
The Room VR: A Dark Matter,36.5,23.0,3.0,3.4,18.0,4096.0,1701.0,12.05,42.0,110.5,161.64999999999998,1064,1064,4.0,4.0,11
Planetary Annihilation: TITANS,36.5,38.5,3.0,3.5,32.0,768.0,900.0,11.0,3.5,11.0,57.6,764,764,5.0,7.0,9
Whispering Willows,37.0,65.0,2.0,3.23,45.0,128.0,655.0,10.5,4.5,15.5,20.950000000000003,732,764,3.0,3.0,9
Mighty Goose,32.5,65.0,2.0,3.2,33.5,768.0,450.0,10.6,3.0,6.5,7.2,764,1064,1.0,1.0,9
